"psy_item","item","item_full","description","language","type","psy_option","auth"
"iRL_therm_1:1","therm_item1_concepts","Heating controller","therm","iRL","concept","actor","actor"
"iRL_therm_1:2","therm_item1_concepts","Heating controller","therm","iRL","concept","goal","actor"
"iRL_therm_1:3","therm_item1_concepts","Heating controller","therm","iRL","concept","task","actor"
"iRL_therm_1:4","therm_item1_concepts","Heating controller","therm","iRL","concept","eff-sat","actor"
"iRL_therm_1:5","therm_item1_concepts","Heating controller","therm","iRL","concept","eff-nonsat","actor"
"iRL_therm_1:6","therm_item1_concepts","Heating controller","therm","iRL","concept","eff-pre","actor"
"iRL_therm_1:7","therm_item1_concepts","Heating controller","therm","iRL","concept","eff-ind","actor"
"iRL_therm_1:8","therm_item1_concepts","Heating controller","therm","iRL","concept","qual","actor"
"iRL_therm_1:9","therm_item1_concepts","Heating controller","therm","iRL","concept","qual-pre","actor"
"iRL_therm_1:10","therm_item1_concepts","Heating controller","therm","iRL","concept","None","actor"
"iRL_therm_2:1","therm_item2_concepts","Maintain optimal room temperature","therm","iRL","concept","actor","goal"
"iRL_therm_2:2","therm_item2_concepts","Maintain optimal room temperature","therm","iRL","concept","goal","goal"
"iRL_therm_2:3","therm_item2_concepts","Maintain optimal room temperature","therm","iRL","concept","task","goal"
"iRL_therm_2:4","therm_item2_concepts","Maintain optimal room temperature","therm","iRL","concept","eff-sat","goal"
"iRL_therm_2:5","therm_item2_concepts","Maintain optimal room temperature","therm","iRL","concept","eff-nonsat","goal"
"iRL_therm_2:6","therm_item2_concepts","Maintain optimal room temperature","therm","iRL","concept","eff-pre","goal"
"iRL_therm_2:7","therm_item2_concepts","Maintain optimal room temperature","therm","iRL","concept","eff-ind","goal"
"iRL_therm_2:8","therm_item2_concepts","Maintain optimal room temperature","therm","iRL","concept","qual","goal"
"iRL_therm_2:9","therm_item2_concepts","Maintain optimal room temperature","therm","iRL","concept","qual-pre","goal"
"iRL_therm_2:10","therm_item2_concepts","Maintain optimal room temperature","therm","iRL","concept","None","goal"
"iRL_therm_3:1","therm_item3_concepts","Signal Heater On","therm","iRL","concept","actor","task"
"iRL_therm_3:2","therm_item3_concepts","Signal Heater On","therm","iRL","concept","goal","task"
"iRL_therm_3:3","therm_item3_concepts","Signal Heater On","therm","iRL","concept","task","task"
"iRL_therm_3:4","therm_item3_concepts","Signal Heater On","therm","iRL","concept","eff-sat","task"
"iRL_therm_3:5","therm_item3_concepts","Signal Heater On","therm","iRL","concept","eff-nonsat","task"
"iRL_therm_3:6","therm_item3_concepts","Signal Heater On","therm","iRL","concept","eff-pre","task"
"iRL_therm_3:7","therm_item3_concepts","Signal Heater On","therm","iRL","concept","eff-ind","task"
"iRL_therm_3:8","therm_item3_concepts","Signal Heater On","therm","iRL","concept","qual","task"
"iRL_therm_3:9","therm_item3_concepts","Signal Heater On","therm","iRL","concept","qual-pre","task"
"iRL_therm_3:10","therm_item3_concepts","Signal Heater On","therm","iRL","concept","None","task"
"iRL_therm_4:1","therm_item4_concepts","Signal Heater Off","therm","iRL","concept","actor","task"
"iRL_therm_4:2","therm_item4_concepts","Signal Heater Off","therm","iRL","concept","goal","task"
"iRL_therm_4:3","therm_item4_concepts","Signal Heater Off","therm","iRL","concept","task","task"
"iRL_therm_4:4","therm_item4_concepts","Signal Heater Off","therm","iRL","concept","eff-sat","task"
"iRL_therm_4:5","therm_item4_concepts","Signal Heater Off","therm","iRL","concept","eff-nonsat","task"
"iRL_therm_4:6","therm_item4_concepts","Signal Heater Off","therm","iRL","concept","eff-pre","task"
"iRL_therm_4:7","therm_item4_concepts","Signal Heater Off","therm","iRL","concept","eff-ind","task"
"iRL_therm_4:8","therm_item4_concepts","Signal Heater Off","therm","iRL","concept","qual","task"
"iRL_therm_4:9","therm_item4_concepts","Signal Heater Off","therm","iRL","concept","qual-pre","task"
"iRL_therm_4:10","therm_item4_concepts","Signal Heater Off","therm","iRL","concept","None","task"
"iRL_therm_5:1","therm_item5_concepts","On-signal succeeded","therm","iRL","concept","actor","eff-sat"
"iRL_therm_5:2","therm_item5_concepts","On-signal succeeded","therm","iRL","concept","goal","eff-sat"
"iRL_therm_5:3","therm_item5_concepts","On-signal succeeded","therm","iRL","concept","task","eff-sat"
"iRL_therm_5:4","therm_item5_concepts","On-signal succeeded","therm","iRL","concept","eff-sat","eff-sat"
"iRL_therm_5:5","therm_item5_concepts","On-signal succeeded","therm","iRL","concept","eff-nonsat","eff-sat"
"iRL_therm_5:6","therm_item5_concepts","On-signal succeeded","therm","iRL","concept","eff-pre","eff-sat"
"iRL_therm_5:7","therm_item5_concepts","On-signal succeeded","therm","iRL","concept","eff-ind","eff-sat"
"iRL_therm_5:8","therm_item5_concepts","On-signal succeeded","therm","iRL","concept","qual","eff-sat"
"iRL_therm_5:9","therm_item5_concepts","On-signal succeeded","therm","iRL","concept","qual-pre","eff-sat"
"iRL_therm_5:10","therm_item5_concepts","On-signal succeeded","therm","iRL","concept","None","eff-sat"
"iRL_therm_6:1","therm_item6_concepts","On-signal failed","therm","iRL","concept","actor","eff-sat"
"iRL_therm_6:2","therm_item6_concepts","On-signal failed","therm","iRL","concept","goal","eff-sat"
"iRL_therm_6:3","therm_item6_concepts","On-signal failed","therm","iRL","concept","task","eff-sat"
"iRL_therm_6:4","therm_item6_concepts","On-signal failed","therm","iRL","concept","eff-sat","eff-sat"
"iRL_therm_6:5","therm_item6_concepts","On-signal failed","therm","iRL","concept","eff-nonsat","eff-sat"
"iRL_therm_6:6","therm_item6_concepts","On-signal failed","therm","iRL","concept","eff-pre","eff-sat"
"iRL_therm_6:7","therm_item6_concepts","On-signal failed","therm","iRL","concept","eff-ind","eff-sat"
"iRL_therm_6:8","therm_item6_concepts","On-signal failed","therm","iRL","concept","qual","eff-sat"
"iRL_therm_6:9","therm_item6_concepts","On-signal failed","therm","iRL","concept","qual-pre","eff-sat"
"iRL_therm_6:10","therm_item6_concepts","On-signal failed","therm","iRL","concept","None","eff-sat"
"iRL_therm_7:1","therm_item7_concepts","Off-signal succeeded","therm","iRL","concept","actor","eff-sat"
"iRL_therm_7:2","therm_item7_concepts","Off-signal succeeded","therm","iRL","concept","goal","eff-sat"
"iRL_therm_7:3","therm_item7_concepts","Off-signal succeeded","therm","iRL","concept","task","eff-sat"
"iRL_therm_7:4","therm_item7_concepts","Off-signal succeeded","therm","iRL","concept","eff-sat","eff-sat"
"iRL_therm_7:5","therm_item7_concepts","Off-signal succeeded","therm","iRL","concept","eff-nonsat","eff-sat"
"iRL_therm_7:6","therm_item7_concepts","Off-signal succeeded","therm","iRL","concept","eff-pre","eff-sat"
"iRL_therm_7:7","therm_item7_concepts","Off-signal succeeded","therm","iRL","concept","eff-ind","eff-sat"
"iRL_therm_7:8","therm_item7_concepts","Off-signal succeeded","therm","iRL","concept","qual","eff-sat"
"iRL_therm_7:9","therm_item7_concepts","Off-signal succeeded","therm","iRL","concept","qual-pre","eff-sat"
"iRL_therm_7:10","therm_item7_concepts","Off-signal succeeded","therm","iRL","concept","None","eff-sat"
"iRL_therm_8:1","therm_item8_concepts","Off-signal failed","therm","iRL","concept","actor","eff-sat"
"iRL_therm_8:2","therm_item8_concepts","Off-signal failed","therm","iRL","concept","goal","eff-sat"
"iRL_therm_8:3","therm_item8_concepts","Off-signal failed","therm","iRL","concept","task","eff-sat"
"iRL_therm_8:4","therm_item8_concepts","Off-signal failed","therm","iRL","concept","eff-sat","eff-sat"
